date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:01	2332/2332	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202025%2023:01:01%20GMT	https://sigony.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsigony.com%2F	C:/SITE%20AMPLIO/1/sigony.com/wp-json/oembed/1.0/embed3bad.json	(from https://sigony.com/)
20:01:01	2532/2532	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Jan%202025%2023:01:01%20GMT	https://sigony.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsigony.com%2F&format=xml	C:/SITE%20AMPLIO/1/sigony.com/wp-json/oembed/1.0/embed0808	(from https://sigony.com/)
20:01:02	245017/245017	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Jan%202025%2023:01:02%20GMT	https://connect.facebook.net/en_US/fbevents.js?v=next	C:/SITE%20AMPLIO/1/connect.facebook.net/en_US/fbevents2f15.js	(from https://sigony.com/)
20:01:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Jan%202025%2023:01:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/SITE%20AMPLIO/1/www.googletagmanager.com/gtm.145445.delayed	(from https://sigony.com/)
20:01:02	815/815	---M--	200	added ('OK')	image/png	etag:%2266ccd2ab-32f%22	https://sigony.com/wp-content/uploads/2024/01/cropped-SIGO_NY_favicon_01-1-32x32.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/01/cropped-SIGO_NY_favicon_01-1-32x32.png	(from https://sigony.com/)
20:01:03	5090/5090	---M--	200	added ('OK')	image/png	etag:%2266ccd2ab-13e2%22	https://sigony.com/wp-content/uploads/2024/01/cropped-SIGO_NY_favicon_01-1-192x192.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/01/cropped-SIGO_NY_favicon_01-1-192x192.png	(from https://sigony.com/)
20:01:03	4749/4749	---M--	200	added ('OK')	image/png	etag:%2266ccd2ab-128d%22	https://sigony.com/wp-content/uploads/2024/01/cropped-SIGO_NY_favicon_01-1-180x180.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/01/cropped-SIGO_NY_favicon_01-1-180x180.png	(from https://sigony.com/)
20:01:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202025%2023:01:03%20GMT	https://sigony.com/contact	C:/SITE%20AMPLIO/1/sigony.com/contact	(from https://sigony.com/)
20:01:04	134817/134817	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2016:36:03%20GMT	https://sigony.com/contact/	C:/SITE%20AMPLIO/1/sigony.com/contact/index.html	(from https://sigony.com/)
20:01:04	131361/131361	---M--	200	added ('OK')	image/jpeg	etag:%2267297289-20121%22	https://sigony.com/wp-content/uploads/2024/11/sigony_intro_placeholder_zoomed.jpg	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/11/sigony_intro_placeholder_zoomed.jpg	(from https://sigony.com/)
20:01:05	191272/191272	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2018:04:59%20GMT	https://sigony.com/service-branding-and-design/	C:/SITE%20AMPLIO/1/sigony.com/service-branding-and-design/index.html	(from https://sigony.com/)
20:01:05	132174/132174	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2017:38:02%20GMT	https://sigony.com/work-brand-identity-projects/	C:/SITE%20AMPLIO/1/sigony.com/work-brand-identity-projects/index.html	(from https://sigony.com/)
20:01:05	169140/169140	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2019:11:48%20GMT	https://sigony.com/about-behind-strategic-branding/	C:/SITE%20AMPLIO/1/sigony.com/about-behind-strategic-branding/index.html	(from https://sigony.com/)
20:01:06	231134/231134	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2017:22:06%20GMT	https://sigony.com/nova-news-branding-tactics-articles/	C:/SITE%20AMPLIO/1/sigony.com/nova-news-branding-tactics-articles/index.html	(from https://sigony.com/)
20:01:06	54861/54861	---M--	200	added ('OK')	image/jpeg	etag:%226700084b-d64d%22	https://sigony.com/wp-content/uploads/2024/10/sigony_mars_placeholder_01.jpg	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/10/sigony_mars_placeholder_01.jpg	(from https://sigony.com/)
20:01:07	3291704/3291704	---M--	200	added ('OK')	video/mp4	etag:%226729723e-323a38%22	https://sigony.com/wp-content/uploads/2024/11/sigo_intro_new_2024_small_zoomed.mp4	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/11/sigo_intro_new_2024_small_zoomed.mp4	(from https://sigony.com/)
20:01:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202025%2023:01:07%20GMT	https://sigony.com/work	C:/SITE%20AMPLIO/1/sigony.com/work	(from https://sigony.com/)
20:01:07	195350/195350	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2016:21:39%20GMT	https://sigony.com/portfolio/sylvan-foods-frozen-food-company-design/	C:/SITE%20AMPLIO/1/sigony.com/portfolio/sylvan-foods-frozen-food-company-design/index.html	(from https://sigony.com/)
